counter	temp	goal	relay	energy
4	27	298	1	80
5	27	298	1	80
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	27	298	1	100
5	23	298	1	100
6	23	298	1	100
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
7	23	298	1	120
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
